
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
             Arkadiusz              Mularczyk    m          False               False                   False
             Krzysztof                 Mulawa    m          False               False                   False
                 Piotr                 Müller    m          False               False                   False
             Arkadiusz                 Myrcha    m          False               False                   False
              Grzegorz            Napieralski    m          False               False                   False
                Dorota              Niedziela    k          False               False                   False
                 Jacek           Niedźwiedzki    m           True               False                   False
            Małgorzata               Niemczyk    k          False               False                   False
               Jolanta             Niezgodzka    k          False               False                   False
              Sławomir                 Nitras    m          False               False                   False
               Barbara                Nowacka    k          False               False                   False
              Maja Ewa                  Nowak    k          False                True                   False
          Tomasz Piotr                  Nowak    m          False                True                   False
                 Wanda                Nowicka    k          False               False                   False
               Urszula             Nowogórska    k           True               False                   False
             Mirosława                 Nykiel    k          False               False                   False
                Marcin                 Ociepa    m          False               False                   False
               Marzena        Okła-Drewnowicz    k           True               False                    True
               Barbara                  Okuła    k           True               False                   False
              Bogumiła                 Olbryś    k           True               False                   False
               Barbara              Oliwiecka    k          False               False                   False
                Dorota                   Olko    k          False               False                   False
                 Paweł              Olszewski    m          False               False                   False
         Mirosław Adam               Orliński    m           True                True                   False
                Łukasz                Osmalak    m          False               False                   False
             Katarzyna                   Osos    k          False               False                   False
                 Jacek                  Osuch    m          False               False                   False
                 Jacek                 Ozdoba    m          False               False                   False
                  Anna                 Paluch    k          False               False                   False
                Teresa                 Pamuła    k           True               False                   False
                 Paweł                  Papke    m          False               False                   False
               Urszula              Pasławska    k           True               False                   False
             Krzysztof                 Paszyk    m          False               False                   False
              Karolina              Pawliczak    k          False               False                   False
                Monika              Pawłowska    k           True               False                   False
            Bartłomiej                   Pejo    m          False               False                   False
               Ryszard                  Petru    m          False               False                   False
            Małgorzata                  Pępek    k           True               False                   False
             Krzysztof             Piątkowski    m           True               False                   False
              Bolesław                 Piecha    m          False               False                   False
              Grzegorz             Piechowiak    m          False               False                   False
                  Anna              Pieczarka    k          False               False                   False
       Katarzyna Maria              Piekarska    k          False                True                   False
               Norbert           Pietrykowski    m          False               False                   False
          Lucjan Marek             Pietrzczyk    m          False                True                   False
               Dariusz            Piontkowski    m          False               False                   False
             Kazimierz                 Plocke    m          False               False                   False
              Grzegorz                Płaczek    m           True               False                   False
                Kacper              Płażyński    m           True               False                   False
                Szymon                 Pogoda    m          False               False                   False
                 Jerzy               Polaczek    m          False               False                   False
